institution,title,project_url,functioning_website,website_not_found,not_redirected_website,partially_unaccessible_website,new_website_url,url_showcase,url_showcase_working,url_landing_page,url_landing_working,provenance,knot_uri,notes,url_first_seen,url_last_seen
Università degli studi di Padova,RDCI - Repertorio Digitale della Canzone Italiana,https://www.rdci.it/,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/repertorio-canzone-project,,2021-06-17 07:23:58,2024-11-23 16:34:45
Bibliotheca Hertziana,Rara,https://rara.biblhertz.it/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2007-03-02 12:26:48,2024-12-29 21:49:56
Università di Bologna,Ragu project,https://raguproject.github.io/,TRUE,FALSE,FALSE,FALSE,,,FALSE,https://raguproject.github.io/,FALSE,AIUCD,,,,
Bibliotheca Hertziana,Project 3d Bridge,https://wissensgeschichte.biblhertz.it/3d-bridge-html/index3D.html,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2007-06-25 05:33:59,2009-01-19 14:11:43
Accademia della Crusca,Progetto viver,https://testi.progettoviver.it/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,,2023-12-06 14:48:12,2024-11-15 00:19:51
Università di Verona,Progetto Mambrino,https://www.mambrino.it/it,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,at first it works but then an error 404 appears,2019-08-22 11:12:00,2024-12-04 09:24:39
Università di Catania,Poichilia,https://poichilia.unict.it,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2023-01-10 23:46:29,2024-08-13 15:17:15
Università di Catania,Pirandello nazionale,https://www.pirandellonazionale.it/opere/,TRUE,FALSE,FALSE,FALSE,,,FALSE,https://www.pirandellonazionale.it/,TRUE,AIUCD,,,2017-12-18 06:45:48,2024-06-24 16:59:26
Università di Bologna,philoeditor,http://projects.dharc.unibo.it/philoeditor/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,ongoing project,2021-12-17 00:19:11,2024-08-06 10:08:33
I Tatti - The Harvard University. Center For Italian Renaissance Studies; University of Bologna; Kunsthistoriches Institut in Florenz; Bibliotheca Hertziana,Pharos,https://pharosartresearch.org/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,access denied,2016-10-30 05:04:38,2025-01-05 00:59:40
Indiana University,Petrarchive,https://dcl.luddy.indiana.edu/petrarchive/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,,2023-12-01 12:04:27,2025-01-03 21:39:48
Bibliotheca Hertziana,Perspectiva,https://dlib.biblhertz.it/perspectiva/,TRUE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,Italian DH Institutions,,,,
Università di Pisa,Pelavicino,http://pelavicino.labcd.unipi.it/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2015-12-25 00:43:10,2024-12-09 19:17:27
"Università degli studi di Roma ""La Sapienza""",PAThs - Archaeological Atlas of Coptic Literature,https://atlas.paths-erc.eu/,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/paths-project,,2019-02-25 10:44:01,2025-01-04 07:45:15
ICAr,PARTIGIANI D'ITALIA,https://partigianiditalia.cultura.gov.it/,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/partigiani-italia-project,,2022-12-10 14:40:07,2024-11-23 15:55:24
,Papyri.info,https://papyri.info/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2007-09-29 00:41:54,2025-01-05 02:58:59
"Università di Bologna, CNR, Università degli studi di Trento, Istituto di linguistica computazionale A. Zampolli , Accademia europea di Bolzano",PAISÀ corpus italiano,https://www.corpusitaliano.it/en/index.html,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/paisa-project,,2012-09-30 01:40:22,2024-06-21 17:18:31
Università di Bologna,OpenGadda,https://numgadda.github.io/OpenGadda/databasecolumnmerge.html,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,,,
Università di Pisa,Odonomastica Femminile,http://www.labcd.unipi.it/odonomastica-femminile/,TRUE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,Italian DH Institutions,,not working,2022-05-18 16:23:35,2024-09-14 21:35:56
Università di Bologna,odi: uno studio su il castello dei destini incrociati di italo calvino,https://projects.dharc.unibo.it/odi/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,some search filters are not working anymore,2023-11-29 02:07:18,2024-07-04 08:04:53
Università Ca' Foscari Venezia,Nuova Bilioteca Manoscritta,https://www.nuovabibliotecamanoscritta.it/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2006-01-10 22:55:45,2025-01-04 18:44:24
Bibliotheca Hertziana,Noack,https://db.biblhertz.it/noack/noack.xml,TRUE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,Italian DH Institutions,,,2007-05-13 20:47:23,2024-04-30 03:08:52
,Navigli Project,http://arcg.is/0vfWKj,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,DH Awards,,,2020-10-08 06:34:02,2024-07-09 08:39:23
Università di Bologna,mythlod,https://dharc-org.github.io/mythlod/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,it's a showcase website,2021-11-22 20:11:10,2024-12-15 08:28:31
Università di Bologna,mythLOD,https://dharc-org.github.io/mythlod/static/mima.html,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/mythlod-project,,2022-12-05 20:27:10,2024-04-18 19:33:59
Università di Bologna,musow,http://projects.dharc.unibo.it/musow/,TRUE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,Italian DH Institutions,,not working - not private connection,2021-11-17 13:32:50,2024-12-16 16:48:30
Università Ca' Foscari Venezia,Musisque Deoque. Un archivio digitale di poesia latina,https://mizar.unive.it/mqdq/public/index,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/musisque-deoque-project,,2018-08-07 19:00:18,2024-09-14 11:00:46
Università Ca’ Foscari Venezia; Università della Calabria;Università di Napoli Federico II; Università degli Studi di Parma ;Università degli Studi di Perugia,Musisque Deoque,http://www.mqdq.it/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,DH Awards,,,2009-06-17 19:36:50,2024-12-28 14:41:43
Università degli studi di Padova,Metastasio,https://www.progettometastasio.it/public/,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/metastasio-drammi-project,,2016-05-15 11:29:42,2024-12-20 13:10:41
Università degli studi di Padova,Metadata as Semantic Palimpsests: The Case of PHAIDRA@unipd,https://phaidra.cab.unipd.it/info/impressum,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,https protocol outdated,2014-12-18 21:57:50,2025-01-03 20:55:46
Università di Pisa; ILC-CNR; Università di Siena,Memoria di guerra,http://www.memoriediguerra.it/,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/memorie-guerra-project,,2016-12-18 23:50:19,2024-12-21 20:12:39
Università di Bologna,melody. make me a linked open data story,https://projects.dharc.unibo.it/melody/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,not consistent in showing the letters,2022-10-06 19:12:07,2024-11-17 23:01:39
Università di Bologna,mAuth - Mining Authoritativeness in Art History,https://projects.dharc.unibo.it/mauth/search,TRUE,FALSE,FALSE,TRUE,,,,,,KNOT,http://purl.org/knot/data/mauth-project,,2023-01-30 20:56:53,2023-09-27 18:55:49
Università di Pisa,Matilde Di Canossa,http://www.labcd.unipi.it/matildedicanossa,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2021-03-19 07:48:28,2024-06-03 02:31:15
Bibliotheca Hertziana,Maps and Gazetteers,https://maps.biblhertz.it/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,unreachable website,2020-04-11 10:57:01,2024-12-18 20:28:36
Università di Pisa,Mappa project,https://mappaproject.arch.unipi.it/mod/Index.php,TRUE,FALSE,FALSE,FALSE,,http://www.mappaproject.org/,TRUE,,,KNOT,http://purl.org/knot/data/mappa-open-project,,2012-05-24 04:23:54,2024-08-28 20:39:02
Università degli studi di Firenze,Manoscritti Italiani Volgari del 17° secolo,https://miv17.labdilef.it/,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/miv17-project,,2023-01-28 07:31:05,2024-12-29 22:09:52
Università degli studi Modena e Reggio Emilia,Lodovico Media Library,https://lodovico.medialibrary.it/home/index.aspx,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/lodovico-project,,2021-04-15 10:02:13,2025-01-02 14:02:56
Università Cattolica del Sacro Cuore,Linking Latin,https://lila-erc.eu/LiLaLisp/,TRUE,FALSE,FALSE,FALSE,,,FALSE,https://lila-erc.eu/#about-1,TRUE,AIUCD,,,2023-10-20 13:14:10,2024-12-09 10:21:39
Bibliotheca Hertziana,Lineamenta,https://fm.biblhertz.it/fmi/xsl/home.xsl?-token.proj=li,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2020-08-20 06:02:20,2022-07-12 13:03:30
Università di Catania,Linea: per un portale della letteratura italiana del Novecento,https://linea.unict.it,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2022-06-26 01:07:51,2023-06-09 20:17:14
Università degli studi di Padova,Libretti d'opera,https://www.librettodopera.it/public/,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/libretti-opera-project,,2016-09-06 17:23:02,2024-12-28 22:59:43
Coordinamento Biblioteche Speciali e Specialistiche di Torino,Library Data Integration: the CoBiS Linked Open Data Project and Portal,https://dati.cobis.to.it/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,,2017-04-23 13:44:15,2025-01-05 03:50:57
Università di Salerno,LIBERaBIT,https://www.liberabit.unisa.it/,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/liberabit-project,,2022-09-19 18:31:15,2024-12-23 23:16:27
Università di Bologna,leggo manzoni,https://projects.dharc.unibo.it/leggomanzoni/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2024-04-04 05:56:58,2024-08-06 10:10:15
Accademia della Crusca,Le parole dell'arte. Accademia della crusca,https://mla.accademiadellacrusca.org/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2019-03-28 15:34:02,2024-12-06 19:21:20
Università degli studi di Firenze,Le Lettere di Alessandra Macinghi Strozzi,https://macinghi-strozzi.labdilef.it/,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/macinghi-strozzi-project,,2022-06-30 16:45:39,2024-12-05 20:14:14
,"Last Letters from the World Wars: Forming Italian Language, Identity and Memory in Texts of Conflict",https://www.ultimelettere.it/LastLetters/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2020-02-26 08:45:09,2024-06-14 10:38:33
Università di Pisa,L'Area Cimiteriale di San Matteo,https://sepolturesanmatteo.labcd.unipi.it/,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/cimi-san-matteo-project,,2021-03-05 00:01:09,2024-06-19 07:59:27
,Italian Natural Language Processing Lab,http://www.italianlp.it/demo/linguistic-annotation-tool/,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/lingua-project,,2014-07-12 10:58:42,2024-09-06 12:14:11
,"IntraText dLib: digital library framework system based on distributed collaboration, e-mail interaction and easy to use text-to-xml facilities for editorial accuracy ",https://www.intratext.com/,TRUE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,IRCDL,,,,
Università Cattolica del Sacro Cuore,Index Thomisticus Treebank,https://itreebank.marginalia.it/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,multilingual function is not working consistently,2008-12-17 15:41:46,2024-12-08 00:12:52
Università di Roma Tre,In Codice Ratio: Machine Transcription of Medieval Manuscripts,https://www.inf.uniroma3.it/db/icr/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,,2018-05-03 15:16:58,2024-08-26 11:45:42
Università di Napoli Federico II,Illuminated Dante Project (IDP),https://www.dante.unina.it/ndp/public/frontend,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,traslocato a https://www.unive.it/pag/44465/,2024-11-10 21:13:11,2024-12-12 14:45:03
Università di Napoli Federico II,Illuminated Dante Project,https://www.dante.unina.it/idp/public/frontend,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,error 404,2024-06-20 11:35:23,2024-12-08 04:08:30
,Idilli di Giacomo Leopardi,https://leopardi.ecdosys.org/en/Home/,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/idili-leopardi-project,,2024-05-09 13:23:46,2024-05-09 13:24:10
I Tatti - The Harvard University. Center For Italian Renaissance Studies,I Tatti Digital Collection,https://collection.itatti.harvard.edu/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,https protocol not implemented  + file not found,2022-04-18 00:10:45,2024-12-27 00:17:53
Università Ca' Foscari Venezia,I conti con la Storia: Le leggi razziali tra televisione e storiografia,http://www.iconticonlastoria.it,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,DH Awards,,,2021-01-08 14:32:52,2024-11-25 04:46:29
Università degli studi di Torino,Hyperpavese,https://www.hyperpavese.com/progetto.php,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,sparql endpoint non accessible,2021-10-24 10:18:42,2024-07-19 03:49:28
Bibliotheca Hertziana,https://zuccaro.biblhertz.it/,https://zuccaro.biblhertz.it/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,it's a showcase website (https://vision.artresearch.net/resource/start),2004-06-06 20:10:01,2024-12-10 07:24:24
Bibliotheca Hertziana,Hertziana Rare Books Online,https://dlib.biblhertz.it/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,page not found,2017-04-12 15:39:57,2024-12-26 17:42:26
Bibliotheca Hertziana,Heinrich Wölfflin,https://editions.humanitiesconnect.pub/exist/apps/hwgw/index.html,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,,
"Istituto di Linguistica Computazionale ""A. Zampolli"" (ILC-CNR)",Greek Schools,https://viewer.greekschools.eu/,TRUE,FALSE,FALSE,FALSE,,https://www.ilc.cnr.it/progetti/greekschools-2/,TRUE,,FALSE,Italian DH Institutions,,,2023-11-02 07:28:30,2024-12-09 06:22:36
ILC-CNR; Università di Pisa,Greek into Arabic,http://www.greekintoarabic.eu/index0b30.html,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/g2a-project,,2020-07-13 05:03:21,2023-10-02 08:45:20
Kunsthistoriches Institut in Florenz,gigapixel images,https://virtualphotothek.khi.fi.it/gigapixel/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2022-08-31 15:41:18,2023-03-21 14:52:41
Bibliotheca Hertziana,Gesture Atlas,https://biblhertz.github.io/atlas/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,error 404,2020-09-06 21:49:35,2022-12-03 12:59:41
Università Ca' Foscari Venezia,Galleria Borghese,https://galleriaborghese.beniculturali.it/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2010-07-22 07:22:55,2025-01-04 13:29:46
ISTC-CNR,FRED - Machine Reading for the Semantic Web,http://wit.istc.cnr.it/stlab-tools/fred/,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/fred-project,,2012-07-15 01:08:17,2024-12-13 15:38:02
ISTC-CNR,framester,https://framester.github.io/,TRUE,FALSE,FALSE,FALSE,,http://etna.istc.cnr.it/framester_web/,TRUE,,FALSE,Italian DH Institutions,,,2024-04-17 22:31:51,2024-07-14 20:00:03
Bibliotheca Hertziana,Foto,https://foto.biblhertz.it/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2007-12-18 20:03:19,2025-01-05 03:48:43
Fondazione Fava,Archivio di Giuseppe Fava,https://www.fondazionefava.it/archivio-di-giuseppe-fava/,TRUE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,AIUCD,,,2023-09-30 07:02:51,2024-12-13 06:13:26
Università di Pisa,Flos,http://iu.di.unipi.it/flos/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2019-12-07 05:03:59,2022-05-19 01:17:10
I Tatti - The Harvard University. Center For Italian Renaissance Studies,Florentine Drawings,https://florentinedrawings.itatti.harvard.edu/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,error 404 not found,2017-03-23 09:40:04,2024-12-28 07:03:53
University La Sapienza,Establishing a Digital Library in Wide-Ranging University’s Context The Sapienza Digital Library Experience,https://sapienzadigitallibrary.uniroma1.it/index.php/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,,2024-08-07 05:28:00,2024-12-02 09:07:39
Università di Bologna,Erbario di Aldovrandi,https://botanica.sma.unibo.it/aldrovandi/Explore,TRUE,FALSE,FALSE,FALSE,,,FALSE,https://botanica.sma.unibo.it/,TRUE,AIUCD,,,2018-09-22 00:49:25,2024-09-14 05:05:43
FBK - Fondazione Bruno Kessler,Epistolario De Gasperi,https://epistolariodegasperi.it/#/,TRUE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,Italian DH Institutions,,moved to https://alcidedigitale.fbk.eu/platform/,2019-05-09 14:20:35,2024-07-21 18:41:44
FBK - Fondazione Bruno Kessler,Epistolario De Gasperi,https://www.epistolariodegasperi.it/#/archivio_digitale/lettere,TRUE,FALSE,FALSE,FALSE,,,FALSE,www.epistolariodegasperi.it,TRUE,AIUCD,,,2019-05-09 14:20:35,2024-07-21 18:41:44
"Università degli studi di Roma ""La Sapienza""",Epigraphic Database Roma (EDR),http://www.edr-edr.it/default/index.php,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/edr-project,,2017-02-24 03:00:58,2024-10-08 07:29:04
ISTC-CNR,Epicum: Epigraphs of Castello Ursino Museum,http://epicum.istc.cnr.it/collezione/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2022-07-06 23:18:50,2024-09-14 21:57:55
Università di Siena,ELA - Eurasian Latin Archive,http://ela.unisi.it/,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/ela-project,,2021-12-17 00:20:52,2024-02-25 02:48:08
Bibliotheca Hertziana,"Eine römische Trilogie: Schudt, Caldana, Schlosser",https://dlib.biblhertz.it/guide/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,,
"Università degli studi di Roma ""La Sapienza""",EDV -  Epigraphic Database Vernacular,http://www.edvcorpus.com/wp/,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/edv-project,,2019-11-11 01:16:32,2024-09-13 20:25:39
Università di Bologna,edizione nazionale delle opere di aldo moro,https://aldomorodigitale.unibo.it/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2021-05-25 07:08:38,2024-12-18 20:02:52
Università di Bari,EDB: Knowledge Technologies for Ancient Greek and Latin Epigraphy,https://www.edb.uniba.it/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,javascript issues,2004-10-14 18:23:51,2024-12-08 06:00:34
CNR - ISMED; Università Ca' Foscari Venezia,Ebla Digital Archives,http://ebda.cnr.it/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2018-11-30 12:18:25,2024-12-16 10:04:22
CNR - ISMED; Università Ca' Foscari Venezia,Ebla Digital Archives,http://ebda.cnr.it/index,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/ebla-project,,2019-02-03 10:29:08,2024-09-26 17:51:32
,Eagle Project,https://www.eagle-network.eu/basic-search/,TRUE,FALSE,FALSE,FALSE,,https://www.eagle-network.eu/basic-search/,FALSE,,FALSE,AIUCD,,,2016-03-07 22:59:33,2024-09-09 11:47:46
,e-rihs,https://www.e-rihs.eu/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,it's a tool,,
Università di Genova,DOGE Percorsi Digitali,https://doge.unige.net/,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/doge-project,credentials needed,2022-01-26 16:15:57,2024-11-27 17:51:30
Kunsthistoriches Institut in Florenz,digitizing the die kirchen von siena project,https://sienaproject.khi.fi.it/,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,"project url is a showcase website, downloading a software is required for visualization",2022-08-11 01:22:37,2024-12-14 05:03:16
Kunsthistoriches Institut in Florenz,digital photothek,http://photothek.khi.fi.it/?Language=en,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2015-03-29 05:01:44,2023-07-08 20:16:30
Università di Pavia,Digital Library Pavia,https://www.bibliotecadigitale.unipv.eu/,TRUE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/digi-lib-pavia-project,,2020-12-18 07:55:58,2025-01-05 03:10:55
Università di Bologna,digital library (ficlit),https://dl.ficlit.unibo.it,TRUE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,error 404,2022-05-17 03:57:57,2024-12-26 23:09:55
Università del Piemonte Orientale,digilibLT: Biblioteca digitale di testi latini tardoantichi,http://www.digiliblt.unipmn.it/,TRUE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,DH Awards,,,2012-02-05 00:48:17,2024-05-11 14:29:16
